userId,movieId,rating
tmdb_1,1371,5.0
tmdb_1,1405,2.0
tmdb_1,2105,8.0
tmdb_1,2193,4.0
tmdb_1,2294,4.0
tmdb_1,2455,5.0
tmdb_2,17,10.0
tmdb_2,62,6.0
tmdb_2,110,8.0
tmdb_2,144,6.0
tmdb_2,150,10.0
tmdb_2,153,8.0
tmdb_2,161,6.0
tmdb_2,165,6.0
tmdb_2,168,6.0
tmdb_2,185,6.0
tmdb_2,186,6.0
tmdb_2,222,10.0
tmdb_2,223,2.0
tmdb_2,225,6.0
tmdb_2,235,6.0
tmdb_2,248,6.0
tmdb_2,253,8.0
tmdb_2,261,8.0
tmdb_2,265,10.0
tmdb_2,266,10.0
tmdb_2,272,6.0
tmdb_2,273,8.0
tmdb_2,292,6.0
tmdb_2,296,8.0
tmdb_2,300,6.0
tmdb_2,314,8.0
tmdb_2,317,4.0
tmdb_2,319,2.0
tmdb_2,339,6.0
tmdb_2,349,8.0
tmdb_2,350,8.0
tmdb_2,364,6.0
tmdb_2,377,6.0
tmdb_2,405,4.0
tmdb_2,410,6.0
tmdb_2,454,8.0
tmdb_2,457,6.0
tmdb_2,468,8.0
tmdb_2,480,8.0
tmdb_2,497,6.0
tmdb_2,500,8.0
tmdb_2,508,8.0
tmdb_2,509,8.0
tmdb_2,527,8.0
tmdb_2,537,8.0
tmdb_2,539,6.0
tmdb_2,550,6.0
tmdb_2,551,10.0
tmdb_2,552,6.0
tmdb_2,585,10.0
tmdb_2,586,6.0
tmdb_2,587,6.0
tmdb_2,588,6.0
tmdb_2,590,10.0
tmdb_2,592,10.0
tmdb_2,593,6.0
tmdb_2,616,6.0
tmdb_2,661,8.0
tmdb_3,110,8.0
tmdb_3,247,7.0
tmdb_3,267,6.0
tmdb_3,296,9.0
tmdb_3,318,10.0
tmdb_3,377,5.0
tmdb_3,527,6.0
tmdb_3,588,6.0
tmdb_3,592,6.0
tmdb_3,593,6.0
tmdb_3,595,4.0
tmdb_3,778,8.0
tmdb_3,866,6.0
tmdb_3,1271,6.0
tmdb_3,1378,8.0
tmdb_3,1580,7.0
tmdb_3,1721,9.0
tmdb_3,1884,8.0
tmdb_3,2028,8.0
tmdb_3,2694,6.0
tmdb_3,2762,7.0
tmdb_3,2841,8.0
tmdb_3,2959,10.0
tmdb_3,44191,7.0
tmdb_3,58559,6.0
tmdb_4,112,10.0
tmdb_4,141,10.0
tmdb_4,153,8.0
tmdb_4,173,6.0
tmdb_4,185,6.0
tmdb_4,260,10.0
tmdb_4,289,8.0
tmdb_4,296,10.0
tmdb_4,329,6.0
tmdb_4,349,10.0
tmdb_4,364,10.0
tmdb_4,380,6.0
tmdb_4,410,6.0
tmdb_4,431,6.0
tmdb_4,434,8.0
tmdb_4,435,2.0
tmdb_4,440,8.0
tmdb_4,442,8.0
tmdb_4,464,8.0
tmdb_4,480,10.0
tmdb_4,541,10.0
tmdb_4,588,10.0
tmdb_4,590,6.0
tmdb_4,594,10.0
tmdb_4,596,10.0
tmdb_4,616,10.0
tmdb_4,858,10.0
tmdb_4,903,10.0
tmdb_4,910,8.0
tmdb_4,913,10.0
tmdb_4,919,10.0
tmdb_4,1073,10.0
tmdb_4,1089,10.0
tmdb_4,1125,10.0
tmdb_4,1127,10.0
tmdb_4,1213,10.0
tmdb_4,1257,10.0
tmdb_4,1259,8.0
tmdb_4,1265,10.0
tmdb_4,1278,10.0
tmdb_4,1282,10.0
tmdb_4,1285,8.0
tmdb_4,1371,8.0
tmdb_4,1372,6.0
tmdb_4,1374,8.0
tmdb_4,1376,6.0
tmdb_4,1377,6.0
tmdb_4,1380,10.0
tmdb_4,1387,10.0
tmdb_4,1396,10.0
tmdb_4,1544,6.0
tmdb_4,1580,10.0
tmdb_4,1858,10.0
tmdb_4,1917,8.0
tmdb_4,1918,4.0
tmdb_4,1954,10.0
tmdb_4,1961,10.0
tmdb_4,1967,6.0
tmdb_4,1968,10.0
tmdb_4,1994,10.0
tmdb_4,2000,10.0
tmdb_4,2002,6.0
tmdb_4,2003,4.0
tmdb_4,2005,10.0
